b1334	b2241	1
b1334	b2242	1
b1334	b2243	1
b1334	b2276	-1
b1334	b2277	-1
b1334	b2278	-1
b1334	b2279	-1
b1334	b2280	-1
b1334	b2281	-1
b1334	b2282	-1
b1334	b2283	-1
b1334	b2284	-1
b1334	b2285	-1
b1334	b2286	-1
b1334	b2287	-1
b1334	b2288	-1
b1334	b2492	1
b1334	b2957	1
b1334	b3114	1
b1334	b3115	1
b1334	b3116	1
b1334	b3117	1
b1334	b3365	1
b1334	b3366	1
b1334	b3367	1
b1334	b3368	1
b1334	b3951	1
b1334	b3952	1
b1334	b4039	-1
b1334	b4040	-1
b1334	b4069	1
b1334	b4122	1
b1334	b4123	1
b1334	b4139	-1
b1334	b4151	1
b1334	b4152	1
b1334	b4153	1
b1334	b4154	1
b1334	b4238	1
b2573	b0052	1
b2573	b0180	1
b2573	b0954	1
b2573	b1093	1
b2573	b1095	1
b2573	b1288	1
b2573	b2323	1
b2573	b2564	1
b2573	b4177	1
b0064	b0061	1
b0064	b0062	1
b0064	b0063	1
b0064	b1898	1
b0064	b1899	1
b0064	b1900	1
b0064	b1901	1
M_arab__L_b	b0064	0
M_arab__L_b	CRP_noARAB	0
M_arab__L_b	CRP_noGL	0
M_arab__L_b	CRP_noMAN	0
M_arab__L_b	CRP_noLAC	0
M_arab__L_b	CRP_noGLT	0
M_arab__L_b	CRP_noMAL	0
M_arab__L_b	CRP_noRIB	0
M_arab__L_b	CRP_noSUCC	0
M_arab__L_b	CRP_noXYL	0
b0889	b0071	1
b0889	b0072	1
b0889	b0073	1
b0889	b0074	1
b0889	b0077	1
b0889	b0078	1
b0889	b0167	1
b0889	b0907	1
b0889	b1814	1
b0889	b2553	1
b0889	b2796	-1
b0889	b2903	1
b0889	b2904	1
b0889	b2905	1
b0889	b3212	1
b0889	b3213	1
b0889	b3454	1
b0889	b3455	1
b0889	b3456	1
b0889	b3457	1
b0889	b3458	1
b0889	b3460	1
b0889	b3616	-1
b0889	b3617	-1
b0889	b3767	1
b0889	b3768	1
b0889	b3769	1
M_leu__L_b	b0071	0
M_leu__L_b	b0072	0
M_leu__L_b	b0073	0
M_leu__L_b	b0074	0
M_leu__L_b	b0077	0
M_leu__L_b	b0078	0
M_leu__L_b	b0889	0
M_leu__L_b	b1814	0
M_leu__L_b	b2796	0
M_leu__L_b	b3212	0
M_leu__L_b	b3213	0
M_leu__L_b	b3454	0
M_leu__L_b	b3455	0
M_leu__L_b	b3456	0
M_leu__L_b	b3457	0
M_leu__L_b	b3458	0
M_leu__L_b	b3460	0
M_leu__L_b	b3572	0
M_leu__L_b	b3616	0
M_leu__L_b	b3617	0
M_leu__L_b	b3670	0
M_leu__L_b	b3671	0
M_leu__L_b	b3767	0
M_leu__L_b	b3768	0
M_leu__L_b	b3769	0
b0080	b1101	-1
b0080	b1241	-1
b0080	b1676	-1
b0080	b1702	1
b0080	b2167	-1
b0080	b2168	-1
b0080	b2169	-1
b0080	b4014	-1
b0080	b4015	-1
Surplus_FDP	b0080	-1
M_gln__L_b	b0104	0
M_gua_b	b0104	0
M_gua_b	b0945	0
M_gua_b	b1062	0
M_gua_b	b1658	0
M_gua_b	b3642	0
M_gua_b	b4244	0
M_gua_b	b4245	0
M_gua_b	b4383	0
M_gua_b	b4384	0
b1323	b0112	-1
b1323	b0388	-1
b1323	b0754	-1
b1323	b1907	-1
b1323	b2600	-1
b1323	b2601	-1
b1323	b3161	1
b1323	b4054	-1
M_phe__L_b	b0112	0
M_phe__L_b	b0754	0
M_phe__L_b	b1323	0
M_phe__L_b	b2599	0
M_phe__L_b	b2600	0
M_phe__L_b	b2601	0
M_phe__L_b	b3161	0
M_phe__L_b	b4054	0
M_trp__L_b	b0112	0
M_trp__L_b	b0754	0
M_trp__L_b	b1323	0
M_trp__L_b	b3708	0
M_trp__L_b	b3709	0
M_trp__L_b	b4393	0
M_tyr__L_b	b0112	0
M_tyr__L_b	b0388	0
M_tyr__L_b	b1323	0
M_tyr__L_b	b1907	0
M_tyr__L_b	b2600	0
M_tyr__L_b	b2601	0
M_tyr__L_b	b3161	0
M_tyr__L_b	b4054	0
b0113	b0114	-1
b0113	b0115	-1
b0113	b2903	-1
b0113	b2904	-1
b0113	b2905	-1
Surplus_PYR	b0113	-1
b3261	b0114	1
b3261	b0115	1
b3261	b0721	1
b3261	b0722	1
b3261	b0723	1
b3261	b0724	1
b3261	b1241	1
b3261	b2903	1
b3261	b2904	1
b3261	b2905	1
b3261	b4111	1
b0162	b2787	1
b0162	b3124	1
b0162	b3125	1
b0162	b3126	1
b0162	b3128	1
M_galct__D_b	b0162	0
M_glcr_b	b0162	0
b0167	NRI_low	1
b3912	b0180	1
b3912	b0954	1
b3912	b1093	1
b3912	b1095	1
b3912	b1288	1
b3912	b2323	1
FadR2	b0180	1
FadR2	b0221	-1
FadR2	b0954	1
FadR2	b1093	1
FadR2	b1095	1
FadR2	b1288	1
FadR2	b1805	-1
FadR2	b2323	1
FadR2	b3845	-1
FadR2	b3846	-1
