ID,Fullname,Rule
b0757,galK,((!M_glc__D_b & !(GalR | GalS)) | !Rob)
b0758,galT,((!M_glc__D_b & !(GalR | GalS)) | !Rob)
b0759,galE,((!M_glc__D_b & !(GalR | GalS)) | !Rob)
b0774,bioA,!BirA
b0775,bioB,!BirA
b0776,bioF,!BirA
b0778,bioD,!BirA
b0840,DeoR,!([R_PPM2 > 0] | [R_PPM2 < 0])
b0871,poxB,(![R_BIOMASS_Ecoli > 0] & RpoS)
b0889,Lrp,!M_leu__L_b
b0894,dmsA,(Fnr & !NarL)
b0895,dmsB,(Fnr & !NarL)
b0896,dmsC,(Fnr & !NarL)
b0902,pflA,(ArcA | (Fnr & (Crp | !NarL)))
b0903,pflB,(ArcA | (Fnr & (Crp | !NarL)))
b0904,focA,(ArcA | (Fnr & (Crp | !NarL)))
b0907,serC,(Lrp | !Crp)
b0931,pncB,!NadR
b0945,pyrD,(!M_csn_b | M_gua_b | !PurR)
b0954,fabA,(!"Stringent" | CpxR | RpoE | FadR2)
b0972,hyaA,((ArcA | Fnr) & b0564)
b0973,hyaB,((ArcA | Fnr) & b0564)
b0974,hyaC,((ArcA | Fnr) & b0564)
b0993,TorS,M_tmao_b
b0995,TorR,TorS
b0996,torC,(TorR | !NarL)
b0997,torA,(TorR | !NarL)
b1014,putA,(M_pro__L_b | Crp | Nac)
b1015,putP,(M_pro__L_b | Crp | Nac)
b1062,pyrC,(!M_csn_b | M_gua_b | !PurR)
b1091,fabH,!"Stringent"
b1092,fabD,!"Stringent"
b1093,fabG,(!"Stringent" | CpxR | RpoE | FadR2)
b1095,fabF,(!"Stringent" | CpxR | RpoE | FadR2)
b1101,ptsG,(!Mlc | !FruR)
b1109,ndh,!Fnr
b1131,purB,!PurR
b1187,FadR,(M_glc__D_b | !M_ac_b)
b1189,dadA,(M_ala__L_b & !Crp)
b1190,dadX,((M_ala__L_b | M_ala__D_b) & Crp)
b1197,treA,RpoS
b1207,prsA,!PurR
b1221,NarL,(M_no3_b | M_no2_b)
b1223,narK,(Fnr | NarL)
b1224,narG,(Fnr & NarL)
b1225,narH,(Fnr & NarL)
b1226,narJ,(Fnr & NarL)
b1227,narI,(Fnr & NarL)
b1241,adhE,(!M_o2_b | !(M_o2_b & FruR) | Fis | !NarL | RpoS)
b1260,trpA,!TrpR
b1261,trpB,!TrpR
b1262,trpC,!TrpR
b1263,trpD,!TrpR
b1264,trpE,!TrpR
b1275,CysB,!M_cys__L_b
b1276,acnA,SoxS
b1288,fabI,(!"Stringent" | CpxR | RpoE | FadR2)
b1323,TyrR,(M_trp__L_b | M_tyr__L_b | M_phe__L_b)
b1334,Fnr,!M_o2_b
b1384,FeaR,Crp
b1385,FeaB,FeaR
b1386,tynA,FeaB
b1474,fdnG,(Fnr | NarL)
b1475,fdnH,(Fnr | NarL)
b1476,fdnI,(Fnr | NarL)
b1493,gadB,(![R_BIOMASS_Ecoli > 0] | [pH < 4])
b1519,tam,![R_BIOMASS_Ecoli > 0]
b1521,uxaB,!ExuR
b1524,yneH,(!M_glc__D_b | (M_nh4_b & !Crp))
b1531,MarA,"Salicylate"
b1594,Mlc,!M_glc__D_b
b1611,fumC,(MarA | Rob | (SoxS & !ArcA))
b1612,fumA,!(ArcA | Fnr)
b1620,MalI,!M_malt_b
b1621,malX,((MalT & Crp) | MalT)
b1622,malY,!MalI
b1623,add,(M_ade_b | M_hxan_b)
b1646,sodC,(![R_BIOMASS_Ecoli > 0] & !Fnr)
b1658,PurR,(M_hxan_b | M_gua_b)
b1676,pykF,!FruR
b1702,pps,FruR
b1704,aroH,!TrpR
b1732,katE,![R_BIOMASS_Ecoli > 0]
b1744,astE,((![R_BIOMASS_Ecoli > 0] & RpoS) | (NRI_hi & RpoN))
b1745,astB,((![R_BIOMASS_Ecoli > 0] & RpoS) | (NRI_hi & RpoN))
b1746,astD,((![R_BIOMASS_Ecoli > 0] & RpoS) | (NRI_hi & RpoN))
b1747,astA,((![R_BIOMASS_Ecoli > 0] & RpoS) | (NRI_hi & RpoN))
b1748,astC,((![R_BIOMASS_Ecoli > 0] & RpoS) | (NRI_hi & RpoN))
b1761,gdhA,!(Nac | M_glu__L_b)
b1805,fadD,(!FadR2 | !ArcA)
b1814,sdaA,((M_gly_b | M_leu__L_b | !M_o2_b) & (!Lrp | (Lrp & M_leu__L_b)))
b1817,manX,(CRP_noLAC | !Mlc)
b1818,manY,(CRP_noLAC | !Mlc)
b1819,manZ,(CRP_noLAC | !Mlc)
b1827,KdgR,(!M_2ddglcn_b & ![R_MNNH > 0] & ![R_ALTRH > 0])
b1849,purT,!PurR
b1850,eda,1
b1851,edd,!GntR
b1896,otsA,RpoS
b1897,otsB,RpoS
b1898,araH_2,(AraC | (AraC & Crp))
b1899,araH_1,(AraC | (AraC & Crp))
b1900,araG,(AraC | (AraC & Crp))
b1901,araF,(AraC | (AraC & Crp))
b1907,tyrP,!(TyrR & M_tyr__L_b)
b1987,Cbl,(!(M_so4_b | M_cys__L_b) & CysB)
b1988,Nac,(NRI_low & RpoN)
b1991,cobT,M_cbi_b
b1992,cobS,M_cbi_b
b1993,cobU,M_cbi_b
b2066,udk,!(M_thym_b | M_csn_b | M_ura_b)
b2087,GatR_1,!M_galt_b
b2090,GatR_2,!M_galt_b
b2091,gatD,(!GatR_1 | !GatR_2)
b2092,gatC,(!GatR_1 | !GatR_2)
b2093,gatB,(!GatR_1 | !GatR_2)
b2094,gatA,(!GatR_1 | !GatR_2)
b2095,gatZ,(!GatR_1 | !GatR_2)
b2096,gatY,(!GatR_1 | !GatR_2)
b2097,fbaB,(M_pyr_b | (M_lac__D_b & !M_glc__D_b))
b2143,cdd,(Crp & !CytR)
b2148,mglC,(Crp & !GalS)
b2149,mglA,(Crp & !GalS)
b2150,mglB,(Crp & !GalS)
b2151,GalS,(!M_lcts_b | !M_gal_b)
b2167,fruA,!FruR
b2168,fruK,!FruR
b2169,fruB,!FruR
b2210,mqo,!ArcA
b2219,AtoS,M_acac_b
b2220,AtoC,AtoS
b2221,atoD,AtoC
b2222,atoA,AtoC
b2223,atoE,AtoC
b2224,atoB,AtoC
b2232,ubiG,(M_o2_b & Crp)
b2234,nrdA,!ArcA
b2235,nrdB,!ArcA
b2239,glpQ,((!GlpR | Fnr) & Crp)
b2240,glpT,(!GlpR & Crp)
b2241,glpA,(CRP_noRIB & (Fnr | ArcA) & !GlpR)
