ID,Fullname,Compartment,BoundaryCondition
Carbon1,Carbon1,boundary,True
Carbon2,Carbon2,boundary,True
Dext,Dext,boundary,True
Eext,Eext,boundary,True
Fext,Fext,boundary,True
Hext,Hext,boundary,True
Oxygen,Oxygen,boundary,True
Biomass,Biomass,boundary,True
ATP,APT,cell,False
NADH,NADH,cell,False
A,A,cell,False
B,B,cell,False
C,C,cell,False
D,D,cell,False
E,E,cell,False
F,F,cell,False
G,G,cell,False
H,H,cell,False
O2,O2,cell,False
