b0973, hyaB, ((ArcA | Fnr) & App)
b0974, hyaC, ((ArcA | Fnr) & App)
b0993, torS, M_tmao_e
b0995, torR, TorS
b0996, torC, (TorR | !NarL)
b0997, torA, (TorR | !NarL)
b1014, putA, (M_pro__L_e | Crp | Nac)
b1015, putP, (M_pro__L_e | Crp | Nac)
b1062, pyrC, (!M_csn_e | M_gua_e | !PurR)
b1091, fabH, !"Stringent"
b1092, fabD, !"Stringent"
b1093, fabG, (!"Stringent" | CpxR | RpoE | FadR2)
b1095, fabF, (!"Stringent" | CpxR | RpoE | FadR2)
b1101, ptsG, (!Mlc | !Cra)
b1109, ndh, !Fnr
b1131, purB, !PurR
b1187, fadR, M_glc__D_e | !M_ac_e)
b1189, dadA, (M_ala__L_e & !Crp)
b1190, dadX, ((M_ala__L_e | M_ala__D_e) & Crp)
b1197, treA, RpoS
b1207, prsA, !PurR 
b1221, narL, (M_no3_e | M_no2_e)
b1223, narK, (Fnr | NarL)
b1224, narG, (Fnr & NarL)
b1225, narH, (Fnr & NarL)
b1226, narJ, (Fnr & NarL)
b1227, narI, (Fnr & NarL)
b1241, adhE, (!M_o2_e | !(M_o2_e & Cra) | Fis | !NarL | RpoS)
b1260, trpA, !TrpR
b1261, trpB, !TrpR
b1262, trpC, !TrpR
b1263, trpD, !TrpR
b1264, trpE, !TrpR
b1275, cysB, !M_cys__L_e 
b1276, acnA, SoxS
b1288, fabI, (!"Stringent" | CpxR | RpoE | FadR2)
b1323, tyrR, (M_trp__L_e | M_tyr__L_e | M_phe__L_e)
b1334, fnr, !M_o2_e
b1384, feaR, Crp
b1385, feaB, FeaR
b1386, tynA, FeaB
b1474, fdnG, (Fnr | NarL)
b1475, fdnH, (Fnr | NarL)
b1476, fdnI, (Fnr | NarL)
b1493, gadB, (![R_Growth > 0] | [R_pH < 4])
b1519, tam, ![R_Growth > 0]
b1521, uxaB, !ExuR
b1524, yneH, (!M_glc__D_e | (M_nh4_e & !Crp))
b1531, marA, "Salicylate"
b1594, mlc, !M_glc__D_e
b1611, fumC, (MarA | Rob | SoxS & !ArcA)
b1612, fumA, !(ArcA | Fnr)
b1620, malI, !M_malt_e
b1621, malX, ((MalT & Crp) | MalT)
b1622, malY, !MalI
b1623, add, (M_ade_e | M_hxan_e)
b1646, sodC, (![R_Growth > 0] & !Fnr)
b1658, purR, (M_hxan_e | M_gua_e)
b1676, pykF, !Cra
b1702, pps, Cra
b1704, aroH, !TrpR
b1732, katE, ![R_Growth > 0]
b1744, astE, ((![R_Growth > 0] & RpoS) | (NRI_hi & RpoN)) 
b1745, astB, ((![R_Growth > 0] & RpoS) | (NRI_hi & RpoN)) 
b1746, astD, ((![R_Growth > 0] & RpoS) | (NRI_hi & RpoN)) 
b1747, astA, ((![R_Growth > 0] & RpoS) | (NRI_hi & RpoN)) 
b1748, astC, ((![R_Growth > 0] & RpoS) | (NRI_hi & RpoN)) 
b1761, gdhA, !(Nac | M_glu__L_e) 
b1805, fadD, (!FadR2 | !ArcA)
b1814, sdaA, ((M_gly_e | M_leu__L_e | !M_o2_e) & (!Lrp | (Lrp & M_leu__L_e)))
b1817, manX, (CRP_noLAC | !Mlc)
b1818, manY, (CRP_noLAC | !Mlc)
b1819, manZ, (CRP_noLAC | !Mlc)
b1827, kdgR, (!M_2ddglcn_e & ![R_MNNH > 0] & ![R_ALTRH > 0])
b1849, purT, !PurR
b1850, eda, (1 | !GntR)
b1851, edd, !GntR
b1896, otsA, RpoS
b1897, otsB, RpoS
b1898, araH_2, (AraC | (AraC & Crp))
b1899, araH_1, (AraC | (AraC & Crp))
b1900, araG, (AraC | (AraC & Crp))
b1901, araF, (AraC | (AraC & Crp))
b1907, tyrP, !(TyrR & M_tyr__L_e)
b1987, cbl, (!(M_so4_e | M_cys__L_e) & CysB)
b1988, nac, (NRI_low & RpoN)
b1991, cobT, M_cbi_e
b1992, cobS, M_cbi_e
b1993, cobU, M_cbi_e
b2066, udk, !(M_thym_e | M_csn_e | M_ura_e)
b2087, gatR_1, !M_galt_e
b2090, gatR_2, !M_galt_e
b2091, gatD, !GatR
b2092, gatC, !GatR
b2093, gatB, !GatR
b2094, gatA, !GatR
b2095, gatZ, !GatR
b2096, gatY, !GatR
b2097, fbaB, (M_pyr_e | M_lac__D_e & !M_glc__D_e)
b2143, cdd, (Crp & !CytR)
b2148, mglC, (Crp & !GalS)
b2149, mglA, (Crp & !GalS)
b2150, mglB, (Crp & !GalS)
b2151, galS, (!M_lcts_e | !M_gal_e)
b2167, fruA, !Cra
b2168, fruK, !Cra
b2169, fruB, !Cra
b2210, mqo, !ArcA
b2219, atoS, M_acac_e
b2220, atoC, AtoS
b2221, atoD, AtoC
b2222, atoA, AtoC
b2223, atoE, AtoC
b2224, atoB, AtoC
b2232, ubiG, (M_o2_e & Crp)
b2234, nrdA, !ArcA
b2235, nrdB, !ArcA
b2239, glpQ, ((!GlpR | Fnr) & Crp)
b2240, glpT, (!GlpR & Crp)
b2241, glpA, (CRP_noRIB & (Fnr | ArcA) & !GlpR)
b2242, glpB, (CRP_noRIB & (Fnr | ArcA) & !GlpR)
b2243, glpC, (CRP_noRIB & (Fnr | ArcA) & !GlpR)
b2276, nuoN, (!(ArcA | Fnr) | NarL)
b2277, nuoM, (!(ArcA | Fnr) | NarL)
b2278, nuoL, (!(ArcA | Fnr) | NarL)
b2279, nuoK, (!(ArcA | Fnr) | NarL)
b2280, nuoJ, (!(ArcA | Fnr) | NarL)
b2281, nuoI, (!(ArcA | Fnr) | NarL)
b2282, nuoH, (!(ArcA | Fnr) | NarL)
b2283, nuoG, (!(ArcA | Fnr) | NarL)
b2284, nuoF, (!(ArcA | Fnr) | NarL)
b2285, nuoE, (!(ArcA | Fnr) | NarL)
b2286, nuoC, (!(ArcA | Fnr) | NarL)
b2287, nuoB, (!(ArcA | Fnr) | NarL)
b2288, nuoA, (!(ArcA | Fnr) | NarL)
b2306, hisP, !M_lys__L_e
b2307, hisM, !M_lys__L_e
b2308, hisQ, !M_lys__L_e
b2309, hisJ, !M_lys__L_e
b2310, argT, !M_lys__L_e
b2311, ubiX, !PurR
b2312, purF, !PurR
b2323, fabB, (!"Stringent" | CpxR | RpoE | FadR2)
b2344, fadL, !(Crp | FadR | OmpR)
b2364, dsdC, M_ser__D_e
b2366, dsdA, ((Crp & DsdC) | DsdC)
b2393, nupC, (Crp | !CytR)
b2405, xapR, M_xtsn_e
b2406, xapB, XapR
b2407, xapA, XapR
b2413, cysZ, CysB
b2414, cysK, CysB
b2415, ptsH, 1
b2416, ptsI, 1
b2417, crr, 1
b2421, cysM, CysB
b2422, cysA, CysB
b2423, cysW, CysB
b2424, cysU, CysB
b2425, cysP, CysB
b2476, purC, !PurR
b2479, gcvR, !M_gly_e
b2492, focB, (ArcA | Fnr & (Crp | !NarL))
b2499, purM, !PurR
b2500, purN, !PurR
b2507, guaA, !(PurR & Crp)
b2508, guaB, !(PurR & Crp)
b2537, hcaR, M_pppn_e
b2538, hcaE, (HcaR & !"LBMedia")
b2539, hcaF, (HcaR & !"LBMedia")
b2540, hcaC, (HcaR & !"LBMedia")
b2541, hcaB, (HcaR & !"LBMedia")
b2542, hcaD, (HcaR & !"LBMedia")
b2551, glyA, (!M_gly_e | MetR | !PurR)
b2553, glnB, Lrp
b2557, purL, !PurR
b2564, pdxJ, RpoE
b2573, rpoE, "heat shock"
b2574, nadB, !NadR
b2599, pheA, !M_phe__L_e
b2600, tyrA, !(([M_phe__L_e > 10] | M_tyr__L_e) & TyrR)
b2601, aroF, !(([M_phe__L_e > 10] | M_tyr__L_e) & TyrR)
b2702, srlA, (!GutR & CRP_noGL)
b2703, srlE, (!GutR & CRP_noGL)
b2704, srlB, (!GutR & CRP_noGL)
b2705, srlD, (GutM & !GutR & CRP_noGL)
b2706, gutM, 1
b2707, srlR, !M_sbt__D_e
b2719, hycG, (FhlA & RpoN & !M_o2_e)
b2720, hycF, (FhlA & RpoN & !M_o2_e)
b2721, hycE, (FhlA & RpoN & !M_o2_e)
b2722, hycD, (FhlA & RpoN & !M_o2_e)
b2723, hycC, (FhlA & RpoN & !M_o2_e)
b2724, hycB, (FhlA & RpoN & !M_o2_e)
b2731, fhlA, (!M_o2_e & !M_no3_e & !M_no2_e & !M_tmao_e & !M_dmso_e & M_for_e)
b2741, rpoS, ![R_Growth > 0]
b2750, cysC, CysB
b2751, cysN, CysB
b2752, cysD, CysB
b2762, cysH, CysB
b2763, cysI, CysB
b2764, cysJ, CysB
b2787, gudD, SdaR
b2796, sdaC, (Crp | (!Lrp & M_leu__L_e & Crp))
b2797, sdaB, 1
b2799, fucO, ((((FucR | M_rmn_e) & !M_o2_e) & Crp) | ((FucR | M_rmn_e) & !M_o2_e))
b2800, fucA, ((FucR & Crp) | FucR)
b2801, fucP, ((FucR & Crp) | FucR)
b2802, fucI, ((FucR & Crp) | FucR)
b2803, fucK, ((FucR & Crp) | FucR)
b2805, fucR, M_fuc__L_e 
b2808, gcvA, !GcvR
b2818, argA, !ArgR
